"Layer","Source Component","Relation Type","Target Component","Layer Flow","Notes"
"Layer 1","RF / VHF / UHF Communication Module","Provides radio communication to","Vessel Traffic Services Interface","Layer 1 -> Layer 1","Supports maritime coordination and radio-frequency exchanges with traffic-service related communication functions."
"Layer 1","Vessel Traffic Services Interface","Provides external traffic-service data to","Vessel Traffic Services Decision Integration","Layer 1 -> Layer 2","Transfers external traffic-service information into the decision-making and autonomy layer for use in vessel reasoning."
"Layer 1","Remote Control Center Communication Interface","Provides supervisory communication to","Human Override Control Interface","Layer 1 -> Layer 2","Supports remote supervision and intervention by connecting RCC communication with the human override control interface."
"Layer 1","GMDSS","Provides safety and emergency communication to","Remote Control Center Communication Interface","Layer 1 -> Layer 1","Supports a safety-critical emergency communication path connected to remote supervision and communication functions."
"Layer 2","Human Override Control Interface","Provides override instructions to","Autonomous Decision-Making Engine","Layer 2 -> Layer 2","Represents the human or supervisory intervention path that can influence autonomous decision-making during critical or safety-relevant situations."
"Layer 2","Internal Data Pipeline / Integration Module","Transfers trusted inter-layer data to","Autonomous Decision-Making Engine","Layer 2 -> Layer 2","Provides trusted internal data exchange to support autonomous reasoning and decision-making processes."
"Layer 2","Machine Learning and Adaptive Algorithm Module","Refines and supports reasoning of","Autonomous Decision-Making Engine","Layer 2 -> Layer 2","Represents the adaptive AI/ML support relationship that assists autonomous reasoning, prediction, and decision refinement."
"Layer 2","Feedback Control Module","Provides feedback refinement to","Autonomous Decision-Making Engine","Layer 2 -> Layer 2","Supports continuous decision adjustment by feeding operational feedback into the autonomous decision-making process."
"Layer 2","Target Model","Provides deployed AI model to","Machine Learning and Adaptive Algorithm Module","Layer 2 -> Layer 2","Represents the deployed AI/ML model used by the machine learning and adaptive algorithm module during autonomous reasoning."
"Layer 2","Training Data Asset","Provides training and adaptation data to","Machine Learning and Adaptive Algorithm Module","Layer 2 -> Layer 2","Represents the training or adaptation data source used to support AI/ML model development, validation, or updates."
"Layer 2","Autonomous Decision-Making Engine","Provides route and control reasoning to","Autonomous Navigation Decision Module","Layer 2 -> Layer 3","Transforms autonomy-layer reasoning outputs into navigation decisions, route adjustments, and maneuvering choices."
"Layer 2","Internal Data Pipeline / Integration Module","Transfers integrated internal data to","Data Integration and Analysis Module","Layer 2 -> Layer 3","Supports data continuity between autonomy-layer processing and decision-support data integration."
"Layer 2","Machine Learning and Adaptive Algorithm Module","Supports navigation decision-making of","Autonomous Navigation Decision Module","Layer 2 -> Layer 3","Provides AI-assisted prediction, adaptation, or decision-refinement support to autonomous navigation decisions."
"Layer 2","Vessel Traffic Services Decision Integration","Provides traffic-management context to","Data Integration and Analysis Module","Layer 2 -> Layer 3","Transfers external traffic-management context into the fused operational picture used by downstream decision-support functions."
"Layer 3","Data Integration and Analysis Module","Provides fused operational picture to","Autonomous Navigation Decision Module","Layer 3 -> Layer 3","Provides the fused operational picture used for route adjustment, maneuvering decisions, and autonomous navigation actions."
"Layer 3","Navigation Support and Situational Awareness Module","Provides situational interpretation to","Autonomous Navigation Decision Module","Layer 3 -> Layer 3","Provides situational awareness and navigation-context interpretation to support autonomous navigation judgment."
"Layer 3","Autonomous Navigation Decision Module","Provides maneuvering decisions to","Collision Avoidance System","Layer 3 -> Layer 3","Provides route and maneuvering decisions that support hazard-aware action planning in the collision avoidance function."
"Layer 3","Collision Avoidance System","Sends steering-related actions to","Steering Gear System","Layer 3 -> Layer 1","Represents the safety-critical steering actuation path from collision avoidance to steering execution."
"Layer 3","Collision Avoidance System","Sends propulsion-related actions to","Engine Control Mechanism","Layer 3 -> Layer 1","Represents the safety-critical propulsion actuation path from collision avoidance to engine control."
"Layer 1","Engine Control Mechanism","Controls propulsion behavior of","Electric / Hybrid Propulsion System","Layer 1 -> Layer 1","Represents the operational control path where the engine control mechanism influences propulsion behavior."
"Layer 1","AIS Interface","Provides traffic-awareness input to","Navigation Support and Situational Awareness Module","Layer 1 -> Layer 3","Provides AIS-based traffic-awareness information to support situational awareness and vessel-context interpretation."
"Layer 1","Rudder Angle Indicator","Provides steering-state feedback to","Feedback Control Module","Layer 1 -> Layer 2","Provides steering-state feedback used by the feedback control module for control adjustment and monitoring."
"Layer 1","Gyroscope Compass","Provides heading reference to","Autonomous Navigation Decision Module","Layer 1 -> Layer 3","Provides directional and heading-reference information used by autonomous navigation decision-making."
"Layer 2","Autonomous Decision-Making Engine","Provides feedback context to","Data Integration and Analysis Module","Layer 2 -> Layer 3","Supports coordination between autonomy-layer reasoning and the fused operational picture used by decision-support functions."
"Layer 2","Machine Learning and Adaptive Algorithm Module","Uses","Target Model","Layer 2 -> Layer 2","Represents the machine learning module using the deployed target model during autonomous reasoning and adaptation."
"Layer 2","Machine Learning and Adaptive Algorithm Module","Uses training and adaptation data from","Training Data Asset","Layer 2 -> Layer 2","Represents the machine learning module using training or adaptation data for model development, validation, or updates."
"Layer 1","Engine Control Mechanism","Controls propulsion actuation of","Controllable Pitch Propeller","Layer 1 -> Layer 1","Represents the propulsion actuation path where the engine control mechanism influences the controllable pitch propeller for vessel maneuvering and propulsion behavior."
"Layer 1","RADAR / ARPA System","Provides obstacle and tracking input to","Navigation Data Integration Tool","Layer 1 -> Layer 1","Provides obstacle detection and target-tracking data to support integrated navigation awareness and route-planning context."
