"Layer","Component","Threat / Vulnerability","Consequence","Impact Area","Rationale"
"Layer 1","Infrared Camera System","Data integrity weaknesses","Compromised low-visibility perception","Safety","False imaging affects situational judgment"
"Layer 1","Weather Transmission System","False data transmission and identity manipulation","Misleading environmental planning context","Operational / Safety","Planning is affected by false weather input"
"Layer 1","Echo Sounder","Data integrity weaknesses","Incorrect depth and environment awareness","Safety / Operational","False depth data can affect safe navigation"
"Layer 1","Gyroscope Compass","Data integrity weaknesses","Corrupted heading reference","Safety / Operational","Heading trust affects route and maneuver logic"
"Layer 1","Heading and Speed Sensor","Data integrity weaknesses","Corrupted motion-state input","Safety / Operational","False state data affects maneuver execution"
"Layer 2","Autonomous Decision-Making Engine","Evasion through deep learning model manipulation","Incorrect autonomy reasoning","Safety / Operational","Core decision logic produces unsafe or noncompliant outputs"
"Layer 2","Autonomous Decision-Making Engine","Weak safeguards for AI-driven decision integrity","Degraded trust in automated decisions","Safety / Operational","Reasoning quality becomes unreliable"
"Layer 2","Autonomous Decision-Making Engine","Weaknesses inherited from Layer 1 primary function categories","Corrupted upstream inputs distort decisions","Safety / Operational","Layer 1 weaknesses propagate into autonomy reasoning"
"Layer 2","Feedback Control Module","Decision-logic manipulation","Corrupted control refinement behavior","Operational / Safety","Bad feedback reinforces wrong decisions"
"Layer 2","Feedback Control Module","Weak safeguards for AI-driven decision integrity","Unstable or unsafe decision correction","Operational / Safety","Poor safeguards amplify errors"
"Layer 2","Vessel Traffic Services Decision Integration","False data transmission and identity manipulation","Misleading external traffic context in autonomy reasoning","Operational / Safety","External coordination data distorts decisions"
"Layer 2","Vessel Traffic Services Decision Integration","Weaknesses inherited from Layer 1 primary function categories","External traffic inputs are not trustworthy","Operational / Safety","Communication-layer weaknesses affect reasoning"
"Layer 2","Machine Learning and Adaptive Algorithm Module","Clean-label poisoning attacks","Biased or degraded model behavior","Safety / Operational","Poisoned data distorts later decisions"
"Layer 2","Machine Learning and Adaptive Algorithm Module","Model stealing","Exposure of autonomy capability","Confidentiality / Strategic","Supports adversary planning and reverse-engineering"
"Layer 2","Machine Learning and Adaptive Algorithm Module","Model inversion and membership inference","Leakage of model or training information","Confidentiality","Outputs may reveal sensitive internals"
"Layer 2","Machine Learning and Adaptive Algorithm Module","Supply chain and machine learning lifecycle attacks","Compromised model lifecycle integrity","Safety / Operational","AI update and training process is undermined"
"Layer 2","Human Override Control Interface","Unauthorized access","Compromised supervisory override path","Safety / Operational","Manual or supervisory intervention becomes unsafe"
"Layer 2","Internal Data Pipeline / Integration Module","Man-in-the-middle attacks","Corrupted trusted internal data transfer","Operational / Safety","Inter-layer data trust is undermined"
"Layer 2","Internal Data Pipeline / Integration Module","Weak safeguards for trusted data exchange","Faulty internal coordination","Operational / Safety","Corruption spreads across autonomy and decision layers"
"Layer 2","Target Model","Backdoor vulnerabilities","Hidden malicious decision behavior","Safety / Operational","Deployed model may misbehave under trigger conditions"
"Layer 2","Target Model","Exposure of the target model","Increased risk of model abuse or theft","Confidentiality / Strategic","Accessible model supports adversary analysis"
"Layer 2","Training Data Asset","Clean-label poisoning attacks","Poisoned model training outcomes","Safety / Operational","Training corruption affects later navigation decisions"
"Layer 2","Training Data Asset","Training data vulnerabilities","Unreliable learning outcomes","Safety / Operational","Dataset weakness reduces decision reliability"
"Layer 3","Data Integration and Analysis Module","Adversarial data manipulation","Corrupted fused operational picture","Safety / Operational","Downstream navigation depends on trusted fused data"
"Layer 3","Data Integration and Analysis Module","Sensor deception","Misleading situational picture","Safety","False sensor inputs undermine awareness"
"Layer 3","Data Integration and Analysis Module","Weaknesses inherited from Layer 1 primary functions","Input-layer corruption distorts fused analysis","Safety / Operational","Multiple upstream weaknesses converge here"
"Layer 3","Data Integration and Analysis Module","Weaknesses inherited from Layer 2 decision-making and autonomy","Corrupted autonomy feedback affects fusion results","Safety / Operational","AI and control-layer corruption propagates here"
"Layer 3","Autonomous Navigation Decision Module","Compromised navigation-data inputs","Unsafe route or maneuver decision","Safety / Operational","Navigation depends on trusted processed inputs"
"Layer 3","Autonomous Navigation Decision Module","Path planning and trajectory optimization vulnerabilities","Unsafe path selection or maneuver plan","Safety","Manipulated route logic may produce hazardous actions"
"Layer 3","Autonomous Navigation Decision Module","Weaknesses inherited from Layer 2 decision-making and autonomy","Unsafe navigation outputs","Safety / Operational","Corrupted reasoning directly affects navigation actions"
"Layer 3","Collision Avoidance System","Sensor deception","False hazard detection or missed hazard","Safety","Unsafe avoidance behavior may occur"
"Layer 3","Collision Avoidance System","Adversarial data manipulation","Unsafe hazard-evaluation output","Safety","Altered data affects avoidance decisions"
"Layer 3","Collision Avoidance System","Coordinated and overwhelming alert-handling weaknesses","Reduced response to real hazards","Safety / Operational","Alert overload masks real threats"
"Layer 3","Navigation Support and Situational Awareness Module","IBS data manipulation","Falsified situational awareness picture","Safety / Operational","Integrated awareness becomes unreliable"
"Layer 3","Navigation Support and Situational Awareness Module","Sensor deception vulnerabilities","Distorted interpretation of the navigation environment","Safety / Operational","False inputs mislead situational understanding"
"Layer 3","Navigation Support and Situational Awareness Module","Weaknesses inherited from Layer 1 primary functions","Distorted navigation understanding","Safety / Operational","Upstream sensing and communication corruption affects interpretation"
