link_order,source_component,relation_type,target_component,bidirectional,description
13,Satellite Communication System,Provides ship-to-shore communication to,Remote Control Center Communication Interface,0,Supports long-range ship-to-shore communication and connectivity between the autonomous vessel and remote supervision functions.
14,RF / VHF / UHF Communication Module,Provides radio communication to,Vessel Traffic Services Interface,0,Supports maritime coordination and radio-frequency exchanges with traffic-service related communication functions.
15,Vessel Traffic Services Interface,Provides external traffic-service data to,Vessel Traffic Services Decision Integration,0,Transfers external traffic-service information into the decision-making and autonomy layer for use in vessel reasoning.
16,Remote Control Center Communication Interface,Provides supervisory communication to,Human Override Control Interface,0,Supports remote supervision and intervention by connecting RCC communication with the human override control interface.
17,GMDSS,Provides safety and emergency communication to,Remote Control Center Communication Interface,0,Supports a safety-critical emergency communication path connected to remote supervision and communication functions.
18,Human Override Control Interface,Provides override instructions to,Autonomous Decision-Making Engine,0,Represents the human or supervisory intervention path that can influence autonomous decision-making during critical or safety-relevant situations.
19,Internal Data Pipeline / Integration Module,Transfers trusted inter-layer data to,Autonomous Decision-Making Engine,0,Provides trusted internal data exchange to support autonomous reasoning and decision-making processes.
20,Machine Learning and Adaptive Algorithm Module,Refines and supports reasoning of,Autonomous Decision-Making Engine,0,"Represents the adaptive AI/ML support relationship that assists autonomous reasoning, prediction, and decision refinement."
21,Feedback Control Module,Provides feedback refinement to,Autonomous Decision-Making Engine,0,Supports continuous decision adjustment by feeding operational feedback into the autonomous decision-making process.
22,Target Model,Provides deployed AI model to,Machine Learning and Adaptive Algorithm Module,0,Represents the deployed AI/ML model used by the machine learning and adaptive algorithm module during autonomous reasoning.
23,Training Data Asset,Provides training and adaptation data to,Machine Learning and Adaptive Algorithm Module,0,"Represents the training or adaptation data source used to support AI/ML model development, validation, or updates."
24,Autonomous Decision-Making Engine,Provides route and control reasoning to,Autonomous Navigation Decision Module,0,"Transforms autonomy-layer reasoning outputs into navigation decisions, route adjustments, and maneuvering choices."
25,Internal Data Pipeline / Integration Module,Transfers integrated internal data to,Data Integration and Analysis Module,0,Supports data continuity between autonomy-layer processing and decision-support data integration.
26,Machine Learning and Adaptive Algorithm Module,Supports navigation decision-making of,Autonomous Navigation Decision Module,0,"Provides AI-assisted prediction, adaptation, or decision-refinement support to autonomous navigation decisions."
27,Vessel Traffic Services Decision Integration,Provides traffic-management context to,Data Integration and Analysis Module,0,Transfers external traffic-management context into the fused operational picture used by downstream decision-support functions.
28,Data Integration and Analysis Module,Provides fused operational picture to,Autonomous Navigation Decision Module,0,"Provides the fused operational picture used for route adjustment, maneuvering decisions, and autonomous navigation actions."
29,Navigation Support and Situational Awareness Module,Provides situational interpretation to,Autonomous Navigation Decision Module,0,Provides situational awareness and navigation-context interpretation to support autonomous navigation judgment.
30,Autonomous Navigation Decision Module,Provides maneuvering decisions to,Collision Avoidance System,0,Provides route and maneuvering decisions that support hazard-aware action planning in the collision avoidance function.
31,Collision Avoidance System,Sends steering-related actions to,Steering Gear System,0,Represents the safety-critical steering actuation path from collision avoidance to steering execution.
32,Collision Avoidance System,Sends propulsion-related actions to,Engine Control Mechanism,0,Represents the safety-critical propulsion actuation path from collision avoidance to engine control.
33,Engine Control Mechanism,Controls propulsion behavior of,Electric / Hybrid Propulsion System,0,Represents the operational control path where the engine control mechanism influences propulsion behavior.
34,AIS Interface,Provides traffic-awareness input to,Navigation Support and Situational Awareness Module,0,Provides AIS-based traffic-awareness information to support situational awareness and vessel-context interpretation.
35,Rudder Angle Indicator,Provides steering-state feedback to,Feedback Control Module,0,Provides steering-state feedback used by the feedback control module for control adjustment and monitoring.
36,Gyroscope Compass,Provides heading reference to,Autonomous Navigation Decision Module,0,Provides directional and heading-reference information used by autonomous navigation decision-making.
37,Autonomous Decision-Making Engine,Provides feedback context to,Data Integration and Analysis Module,0,Supports coordination between autonomy-layer reasoning and the fused operational picture used by decision-support functions.
38,Machine Learning and Adaptive Algorithm Module,Uses,Target Model,0,Represents the machine learning module using the deployed target model during autonomous reasoning and adaptation.
39,Machine Learning and Adaptive Algorithm Module,Uses training and adaptation data from,Training Data Asset,0,"Represents the machine learning module using training or adaptation data for model development, validation, or updates."
40,Engine Control Mechanism,Controls propulsion actuation of,Controllable Pitch Propeller,0,Represents the propulsion actuation path where the engine control mechanism influences the controllable pitch propeller for vessel maneuvering and propulsion behavior.
41,RADAR / ARPA System,Provides obstacle and tracking input to,Navigation Data Integration Tool,0,Provides obstacle detection and target-tracking data to support integrated navigation awareness and route-planning context.
