"Layer","Component","Matrix","Mitigation","Coverage","Efficiency (%)","Comment"
"Layer 1","Satellite Communication System","EMB3D","Security-relevant Auditing and Logging","Yes","25","Authentication failures, rejected connections, abnormal traffic volumes, communication interruptions, configuration changes, and fallback-channel activation are recorded."
"Layer 1","RF / VHF / UHF Communication Module","ICS","Encrypt Network Traffic","Yes","50","Supported digital RF, VHF, and UHF traffic is encrypted using approved cryptographic protocols before transmission."
"Layer 1","RF / VHF / UHF Communication Module","ICS","Communication Authenticity","Yes","50","Digital radio messages and connected endpoints are authenticated before operational data is accepted or forwarded."
"Layer 1","RF / VHF / UHF Communication Module","ICS","Filter Network Traffic","Yes","50","The radio gateway permits only approved protocols, message types, endpoints, and expected traffic patterns."
"Layer 1","RF / VHF / UHF Communication Module","ICS","Network Segmentation","Yes","50","The radio communication gateway is isolated from navigation, autonomy, and control networks, with only required data flows permitted."
"Layer 1","RF / VHF / UHF Communication Module","ICS","Out-of-Band Communications Channel","Yes","75","Satellite communication and GMDSS provide separate fallback channels for essential communication when the primary RF, VHF, or UHF service is disrupted."
"Layer 1","RF / VHF / UHF Communication Module","ICS","Operational Information Confidentiality","Yes","25","Only operationally necessary information is transmitted over open radio channels, while sensitive control and configuration details are excluded."
"Layer 1","RF / VHF / UHF Communication Module","EMB3D","Security-relevant Auditing and Logging","Yes","25","Authentication failures, rejected traffic, channel disruptions, abnormal message volumes, configuration changes, and fallback-channel activations are recorded."
"Layer 1","Vessel Traffic Services Interface","ICS","Validate Program Inputs","Yes","50","Incoming VTS data is checked for valid structure, source identifiers, geographic plausibility, freshness, sequence, and consistency with onboard AIS and RADAR/ARPA information."
"Layer 1","Vessel Traffic Services Interface","ICS","Communication Authenticity","Yes","75","VTS communication endpoints are authenticated and message integrity is verified before external traffic-service information is accepted."
"Layer 1","Vessel Traffic Services Interface","ICS","Filter Network Traffic","Yes","50","The VTS interface permits only approved endpoints, protocols, ports, message types, and expected communication patterns."
"Layer 1","Vessel Traffic Services Interface","ICS","Network Segmentation","Yes","50","The external VTS interface is isolated from core navigation, autonomy, and control networks, with only validated traffic-service data permitted across the boundary."
"Layer 1","Vessel Traffic Services Interface","EMB3D","Network Timestamps","Yes","50","VTS messages include synchronized timestamps and sequence information so stale, delayed, duplicated, or replayed data can be rejected."
"Layer 1","Vessel Traffic Services Interface","EMB3D","Network Request Processing Limits","Yes","50","Connection, message-rate, queue, and processing limits reduce resource exhaustion caused by excessive or abnormal VTS traffic."
"Layer 1","Vessel Traffic Services Interface","EMB3D","Security-relevant Auditing and Logging","Yes","25","Authentication failures, rejected messages, source conflicts, abnormal traffic volumes, stale data, configuration changes, and service interruptions are recorded."
"Layer 1","Remote Control Center Communication Interface","ICS","Multi-factor Authentication","Yes","75","Remote supervisory access requires two independent authentication factors before control or monitoring functions are made available."
"Layer 1","Remote Control Center Communication Interface","ICS","Communication Authenticity","Yes","75","RCC communication endpoints are authenticated and message integrity is verified before supervisory data or remote commands are accepted."
"Layer 1","Remote Control Center Communication Interface","ICS","Encrypt Network Traffic","Yes","75","RCC communication traffic is encrypted using approved cryptographic protocols to protect operational and control information in transit."
"Layer 1","Remote Control Center Communication Interface","ICS","Filter Network Traffic","Yes","50","The RCC interface permits only approved endpoints, protocols, ports, services, and expected supervisory communication patterns."
"Layer 1","Remote Control Center Communication Interface","ICS","Network Segmentation","Yes","50","The RCC communication interface is isolated from core navigation, autonomy, and control networks, with only required and controlled data flows permitted."
"Layer 1","Remote Control Center Communication Interface","EMB3D","Network Request Processing Limits","Yes","50","Connection, session, message-rate, queue, and processing limits reduce resource exhaustion caused by excessive or abnormal remote traffic."
"Layer 1","Remote Control Center Communication Interface","ICS","Out-of-Band Communications Channel","Yes","50","A separate safety or emergency communication path supports essential coordination when the primary RCC communication channel is unavailable or compromised."
"Layer 1","Remote Control Center Communication Interface","EMB3D","Security-relevant Auditing and Logging","Yes","25","Successful and failed access attempts, authentication failures, rejected commands, abnormal traffic volumes, configuration changes, and communication interruptions are recorded."
"Layer 1","GMDSS","ICS","Communication Authenticity","Yes","50","Supported digital GMDSS interfaces authenticate communicating endpoints and verify message integrity before safety-related information is accepted or forwarded."
"Layer 1","GMDSS","ICS","Encrypt Network Traffic","Yes","50","Supported digital and IP-based GMDSS communication links use approved encryption to protect safety and operational information in transit."
"Layer 1","GMDSS","ICS","Out-of-Band Communications Channel","Yes","75","Independent satellite, radio, and emergency communication paths support distress and safety communication when a primary channel is unavailable or compromised."
"Layer 1","GMDSS","ICS","Network Segmentation","Yes","50","GMDSS communication interfaces are isolated from general-purpose and non-essential ship networks, with only required safety-related data flows permitted."
"Layer 1","GMDSS","ICS","Watchdog Timers","Yes","25","GMDSS equipment and communication interfaces are monitored for missing status updates, unresponsive operation, and communication-service failures."
"Layer 1","GMDSS","EMB3D","Security-relevant Auditing and Logging","Yes","25","Communication failures, rejected messages, authentication events, equipment faults, configuration changes, tests, and fallback-channel activations are recorded."
"Layer 1","Controllable Pitch Propeller","ICS","Authorization Enforcement","Yes","75","Only authorized propulsion-control processes and designated operational roles are permitted to issue or modify propeller-pitch commands."
"Layer 1","Controllable Pitch Propeller","ICS","Communication Authenticity","Yes","75","Pitch-control commands are accepted only when the sender is authenticated and message integrity is successfully verified."
"Layer 1","Controllable Pitch Propeller","ICS","Validate Program Inputs","Yes","50","Pitch commands are checked for permitted range, direction, rate of change, operating mode, propulsion state, and consistency with steering and navigation requirements before execution."
"Layer 1","Controllable Pitch Propeller","ICS","Mechanical Protection Layers","Yes","75","Mechanical and hydraulic interlocks, pitch-travel limits, and fail-safe mechanisms prevent blade-pitch movement beyond defined safe operating boundaries."
"Layer 1","Controllable Pitch Propeller","ICS","Watchdog Timers","Yes","25","Pitch-control execution and actuator-response intervals are monitored so missing responses, stalled operation, or control-interface failure triggers fault handling."
"Layer 1","Controllable Pitch Propeller","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected commands, authorization failures, pitch-limit activations, control-mode changes, missing responses, and abnormal actuator behavior are recorded."
"Layer 1","Rudder Angle Indicator","ICS","Validate Program Inputs","Yes","50","Rudder-angle values are checked against valid range, rate-of-change, and steering-state consistency rules before being accepted by the feedback-control function."
"Layer 1","Rudder Angle Indicator","EMB3D","Authenticate Network Messages","Yes","75","Rudder-angle messages are accepted only when message origin and integrity are cryptographically verified."
"Layer 1","Rudder Angle Indicator","EMB3D","Network Timestamps","Yes","50","Rudder-angle messages include synchronized timestamps so stale, delayed, or replayed feedback can be rejected."
"Layer 1","Rudder Angle Indicator","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected, missing, stale, and inconsistent rudder-angle events are recorded for monitoring and incident analysis."
"Layer 1","Electric / Hybrid Propulsion System","ICS","Authorization Enforcement","Yes","75","Only authorized propulsion-control processes and designated operational roles are permitted to issue, modify, or cancel propulsion commands."
"Layer 1","Electric / Hybrid Propulsion System","ICS","Communication Authenticity","Yes","75","Propulsion commands and status messages are accepted only when the communicating source is authenticated and message integrity is verified."
"Layer 1","Electric / Hybrid Propulsion System","ICS","Validate Program Inputs","Yes","50","Power, torque, speed, direction, operating-mode, and transition commands are checked against permitted ranges, rates of change, and current propulsion conditions before execution."
"Layer 1","Electric / Hybrid Propulsion System","ICS","Safety Instrumented Systems","Yes","75","Independent safety logic limits or interrupts propulsion when commands or operating conditions exceed predefined electrical, mechanical, thermal, or operational safety boundaries."
"Layer 1","Electric / Hybrid Propulsion System","EMB3D","Runtime System Integrity Checking","Yes","50","Propulsion-control software, operational parameters, protection settings, and configuration files are checked for unauthorized modification during startup and operation."
"Layer 1","Electric / Hybrid Propulsion System","ICS","Watchdog Timers","Yes","25","Control-cycle execution and propulsion-system responses are monitored so stalled processing, missing responses, or unresponsive operation triggers fault handling."
"Layer 1","Electric / Hybrid Propulsion System","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected commands, authorization failures, safety-limit activations, configuration changes, control-mode transitions, and propulsion faults are recorded."
"Layer 1","Steering Gear System","ICS","Authorization Enforcement","Yes","75","Only authorized navigation, collision-avoidance, and supervisory-control processes are permitted to issue, modify, or cancel steering commands."
"Layer 1","Steering Gear System","ICS","Communication Authenticity","Yes","75","Steering commands and status messages are accepted only when the communicating source is authenticated and message integrity is verified."
"Layer 1","Steering Gear System","ICS","Validate Program Inputs","Yes","50","Steering commands are checked for permitted rudder angle, direction, rate of change, operating mode, vessel state, and consistency with current maneuvering requirements before execution."
"Layer 1","Steering Gear System","ICS","Safety Instrumented Systems","Yes","75","Independent safety logic limits or overrides steering commands that exceed predefined rudder, maneuvering, hydraulic, or operational safety boundaries."
"Layer 1","Steering Gear System","EMB3D","Runtime System Integrity Checking","Yes","50","Steering-control software, command-processing logic, operational limits, safety parameters, and configuration files are checked for unauthorized modification."
"Layer 1","Steering Gear System","ICS","Watchdog Timers","Yes","25","Steering-control execution and actuator-response intervals are monitored so stalled processing, missing responses, or unresponsive operation triggers fault handling."
"Layer 1","Steering Gear System","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected commands, authorization failures, safety-limit activations, configuration changes, control-mode transitions, and steering faults are recorded."
"Layer 1","Engine Control Mechanism","ICS","Authorization Enforcement","Yes","75","Only authorized collision-avoidance, propulsion-control, and supervisory processes are permitted to issue, modify, or cancel engine-control commands."
"Layer 1","Engine Control Mechanism","ICS","Communication Authenticity","Yes","75","Engine-control commands and operational status messages are accepted only when the communicating source is authenticated and message integrity is verified."
"Layer 1","Engine Control Mechanism","ICS","Validate Program Inputs","Yes","50","Engine commands are checked for permitted speed, torque, direction, operating mode, rate of change, and consistency with current propulsion and vessel conditions."
"Layer 1","Engine Control Mechanism","ICS","Privileged Account Management","Yes","50","Administrative accounts capable of changing engine-control logic, protection parameters, operating modes, or configuration settings are restricted and separately managed."
"Layer 1","Engine Control Mechanism","ICS","Restrict File and Directory Permissions","Yes","50","Engine-control software, configuration files, operating parameters, and protection settings are writable only by authorized administrative processes."
"Layer 1","Engine Control Mechanism","EMB3D","Runtime System Integrity Checking","Yes","50","Engine-control executables, command-processing logic, configuration files, and safety-related parameters are checked for unauthorized modification during operation."
"Layer 1","Engine Control Mechanism","ICS","Watchdog Timers","Yes","25","Control-cycle execution and engine-response intervals are monitored so stalled processing, missing responses, or unresponsive operation triggers fault handling."
"Layer 1","Engine Control Mechanism","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected commands, authorization failures, administrative changes, integrity violations, control-mode transitions, watchdog events, and engine-control faults are recorded."
"Layer 1","LiDAR","ICS","Validate Program Inputs","Yes","50","LiDAR measurements are checked for valid range, timing, continuity, and consistency with RADAR/ARPA and other perception sources before use in sensor fusion."
"Layer 1","LiDAR","ICS","Redundancy of Service","Yes","50","RADAR/ARPA and other perception sensors provide an alternative operational picture when LiDAR data is unavailable or rejected."
"Layer 1","LiDAR","EMB3D","Authenticate Network Messages","Yes","50","Network-delivered LiDAR messages are accepted only when their source and integrity are successfully authenticated."
"Layer 1","LiDAR","ICS","Watchdog Timers","Yes","25","The LiDAR interface is monitored for missed frames and unresponsive states so that loss of sensor output triggers fault handling."
"Layer 1","LiDAR","EMB3D","Security-relevant Auditing and Logging","Yes","25","LiDAR authentication failures, rejected measurements, missing frames, and cross-sensor inconsistencies are recorded for monitoring and incident analysis."
"Layer 1","Sonar","ICS","Validate Program Inputs","Yes","50","Sonar observations are checked for valid range, depth, freshness, continuity, rate of change, signal quality, and consistency with related environmental and navigation data before use."
"Layer 1","Sonar","EMB3D","Authenticate Network Messages","Yes","50","Internally transmitted sonar observations and status messages are accepted only when their source authenticity and message integrity are successfully verified."
"Layer 1","Sonar","EMB3D","Network Timestamps","Yes","50","Sonar observations include synchronized timestamps so stale, delayed, duplicated, or replayed measurements can be rejected."
"Layer 1","Sonar","ICS","Watchdog Timers","Yes","25","Sonar sampling, processing, and interface-update cycles are monitored so missing observations or unresponsive operation triggers fault handling."
"Layer 1","Sonar","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected observations, signal-quality anomalies, missing updates, authentication failures, timestamp inconsistencies, and sonar-interface faults are recorded."
"Layer 1","Infrared Camera System","ICS","Validate Program Inputs","Yes","50","Infrared observations are checked for valid format, freshness, frame continuity, signal quality, confidence, and consistency with RADAR, LiDAR, and other perception sources before use."
"Layer 1","Infrared Camera System","EMB3D","Authenticate Network Messages","Yes","50","Internally transmitted infrared observations and status messages are accepted only when their source authenticity and message integrity are successfully verified."
"Layer 1","Infrared Camera System","EMB3D","Network Timestamps","Yes","50","Infrared observations include synchronized timestamps so stale, delayed, duplicated, or replayed frames and detection results can be rejected."
"Layer 1","Infrared Camera System","ICS","Watchdog Timers","Yes","25","Image-capture, processing, and interface-update cycles are monitored so missing frames or unresponsive operation triggers fault handling."
"Layer 1","Infrared Camera System","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected observations, confidence anomalies, missing frames, authentication failures, timestamp inconsistencies, and camera-interface faults are recorded."
"Layer 1","Weather Transmission System","ICS","Validate Program Inputs","Yes","50","Weather measurements are checked for valid format, operational range, freshness, rate of change, and consistency with related environmental and navigational inputs before use."
"Layer 1","Weather Transmission System","EMB3D","Authenticate Network Messages","Yes","75","Weather messages are accepted only when their source authenticity and message integrity are successfully verified."
"Layer 1","Weather Transmission System","EMB3D","Network Timestamps","Yes","50","Weather messages include synchronized timestamps so stale, delayed, or replayed observations can be rejected."
"Layer 1","Weather Transmission System","EMB3D","Network Request Processing Limits","Yes","50","Connection, request, queue, and processing limits prevent abnormal traffic from exhausting the weather-data service."
"Layer 1","Weather Transmission System","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected messages, authentication failures, stale observations, service interruptions, and abnormal request volumes are recorded."
"Layer 1","Echo Sounder","ICS","Validate Program Inputs","Yes","50","Depth measurements are checked for valid range, freshness, continuity, rate of change, signal quality, and consistency with charted depth and related environmental information before use."
"Layer 1","Echo Sounder","EMB3D","Authenticate Network Messages","Yes","50","Internally transmitted depth measurements and status messages are accepted only when their source authenticity and message integrity are successfully verified."
"Layer 1","Echo Sounder","EMB3D","Network Timestamps","Yes","50","Depth measurements include synchronized timestamps so stale, delayed, duplicated, or replayed observations can be rejected."
"Layer 1","Echo Sounder","ICS","Watchdog Timers","Yes","25","Measurement, processing, and interface-update cycles are monitored so missing depth updates or unresponsive operation triggers fault handling."
"Layer 1","Echo Sounder","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected measurements, sudden depth inconsistencies, signal-quality anomalies, missing updates, authentication failures, and interface faults are recorded."
"Layer 1","Gyroscope Compass","ICS","Validate Program Inputs","Yes","50","Heading values are checked for valid range, freshness, rate of change, continuity, and consistency with other navigation references before use."
"Layer 1","Gyroscope Compass","ICS","Redundancy of Service","Yes","50","Alternative heading and navigation references support continued operation when gyroscope-compass data is unavailable or rejected."
"Layer 1","Gyroscope Compass","EMB3D","Authenticate Network Messages","Yes","50","Gyroscope-heading messages are accepted only when their source authenticity and message integrity are successfully verified."
"Layer 1","Gyroscope Compass","EMB3D","Network Timestamps","Yes","50","Heading messages include synchronized timestamps so stale, delayed, or replayed values can be rejected."
"Layer 1","Gyroscope Compass","ICS","Watchdog Timers","Yes","25","The gyroscope-compass interface is monitored for missing updates and unresponsive states so that loss of heading data triggers fault handling."
"Layer 1","Gyroscope Compass","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected, stale, missing, inconsistent, and unauthenticated heading events are recorded for monitoring and incident analysis."
"Layer 1","Heading and Speed Sensor","ICS","Validate Program Inputs","Yes","50","Heading and speed values are checked for valid range, freshness, continuity, rate of change, and consistency with the vessel's expected motion state before use."
"Layer 1","Heading and Speed Sensor","ICS","Redundancy of Service","Yes","50","Alternative navigation and motion-state sources support cross-checking and continued operation when heading or speed measurements are unavailable or rejected."
"Layer 1","Heading and Speed Sensor","EMB3D","Authenticate Network Messages","Yes","50","Heading and speed messages are accepted only when their source authenticity and message integrity are successfully verified."
"Layer 1","Heading and Speed Sensor","EMB3D","Network Timestamps","Yes","50","Heading and speed messages include synchronized timestamps so stale, delayed, duplicated, or replayed measurements can be rejected."
"Layer 1","Heading and Speed Sensor","ICS","Watchdog Timers","Yes","25","The sensor interface is monitored for missing updates and unresponsive states so that loss of motion-state data triggers fault handling."
"Layer 1","Heading and Speed Sensor","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected, stale, missing, inconsistent, and unauthenticated heading and speed events are recorded for monitoring and incident analysis."
"Layer 2","Autonomous Decision-Making Engine","ATLAS","Adversarial Input Detection","Yes","75","Sensor, navigation, and operational inputs are screened for adversarial patterns, abnormal confidence changes, out-of-distribution values, and cross-source inconsistencies before influencing autonomous decisions."
"Layer 2","Autonomous Decision-Making Engine","ATLAS","Input Restoration","Yes","50","Inputs identified as potentially perturbed are filtered or reconstructed before inference, while inputs that cannot be reliably restored are rejected."
"Layer 2","Autonomous Decision-Making Engine","ATLAS","Use Multi-Modal Sensors","Yes","75","Autonomous decisions are based on corroborated GNSS, AIS, RADAR/ARPA, LiDAR, heading, speed, and environmental inputs rather than a single sensing source."
"Layer 2","Autonomous Decision-Making Engine","ATLAS","Validate ML Model","Yes","50","Models used by the decision engine are evaluated against functional, safety, robustness, and adversarial test criteria before deployment and following updates."
"Layer 2","Autonomous Decision-Making Engine","EMB3D","Runtime System Integrity Checking","Yes","50","Decision-engine executables, configurations, safety rules, and loaded model artifacts are integrity-checked during startup and operation."
"Layer 2","Autonomous Decision-Making Engine","EMB3D","Require Authentication for Privileged Functions","Yes","50","Changes to decision logic, model deployment, configuration parameters, and safety constraints require authenticated privileged access."
"Layer 2","Autonomous Decision-Making Engine","ATLAS","AI Telemetry Logging","Yes","25","Model inputs, outputs, confidence values, model versions, rejected inputs, and safety-rule activations are recorded for monitoring and decision traceability."
"Layer 2","Feedback Control Module","ICS","Validate Program Inputs","Yes","50","Feedback values are checked for valid range, freshness, rate of change, control-state consistency, and permitted correction limits before influencing autonomous decisions."
"Layer 2","Feedback Control Module","EMB3D","Formal Methods Verification of Critical Functionality Implementation","Yes","75","Feedback-control logic and correction boundaries are verified against defined stability, safety, and operational properties during development."
"Layer 2","Feedback Control Module","EMB3D","Runtime System Integrity Checking","Yes","50","Feedback-control executables, configuration parameters, correction limits, and control rules are integrity-checked during startup and operation."
"Layer 2","Feedback Control Module","EMB3D","Require Authentication for Privileged Functions","Yes","50","Changes to feedback gains, correction boundaries, control rules, and module configuration require authenticated privileged access."
"Layer 2","Feedback Control Module","ICS","Watchdog Timers","Yes","25","Control-loop execution and feedback-update intervals are monitored so stalled, delayed, or unresponsive processing triggers fault handling."
"Layer 2","Feedback Control Module","ICS","Safety Instrumented Systems","Yes","75","Independent safety logic constrains or overrides feedback corrections that would move steering, propulsion, or navigation behavior outside predefined safe limits."
"Layer 2","Feedback Control Module","EMB3D","Security-relevant Auditing and Logging","Yes","25","Configuration changes, rejected feedback values, integrity failures, watchdog events, and safety-limit activations are recorded."
"Layer 2","Vessel Traffic Services Decision Integration","ICS","Validate Program Inputs","Yes","50","External VTS data is checked for valid structure, source identifiers, freshness, sequence, operational plausibility, and consistency with onboard AIS and RADAR/ARPA information before use."
"Layer 2","Vessel Traffic Services Decision Integration","ICS","Communication Authenticity","Yes","75","VTS messages are accepted only through communication mechanisms that authenticate the sender and verify message integrity."
"Layer 2","Vessel Traffic Services Decision Integration","EMB3D","Network Timestamps","Yes","50","VTS messages include synchronized timestamps so stale, delayed, duplicated, or replayed traffic-management information can be rejected."
"Layer 2","Vessel Traffic Services Decision Integration","ICS","Network Segmentation","Yes","50","The VTS integration service is isolated from the core autonomy network, with access restricted to required endpoints, protocols, and data flows."
"Layer 2","Vessel Traffic Services Decision Integration","EMB3D","Security-relevant Auditing and Logging","Yes","25","Authentication failures, rejected or inconsistent VTS messages, stale data, configuration changes, and service interruptions are recorded."
"Layer 2","Machine Learning and Adaptive Algorithm Module","ATLAS","AI Bill of Materials","Yes","25","Models, libraries, frameworks, datasets, pretrained artifacts, and supporting software dependencies are inventoried with their versions and origins."
"Layer 2","Machine Learning and Adaptive Algorithm Module","ATLAS","Vulnerability Scanning","Yes","50","ML frameworks, libraries, containers, dependencies, and supporting services are scanned for known vulnerabilities before deployment and following updates."
"Layer 2","Machine Learning and Adaptive Algorithm Module","ATLAS","Restrict Library Loading","Yes","50","The ML runtime loads only approved libraries, plugins, extensions, and dependency versions from controlled locations."
"Layer 2","Machine Learning and Adaptive Algorithm Module","ATLAS","Code Signing","Yes","75","ML software, update packages, model-loading components, and deployment artifacts are digitally signed by approved development or release authorities."
"Layer 2","Machine Learning and Adaptive Algorithm Module","ATLAS","Verify ML Artifacts","Yes","75","Model and ML pipeline artifacts are verified for integrity, authenticity, expected origin, and approved version before loading or deployment."
"Layer 2","Machine Learning and Adaptive Algorithm Module","ATLAS","Validate ML Model","Yes","50","Models are evaluated against functional, safety, robustness, adversarial, poisoning, and regression test criteria before deployment and after updates."
"Layer 2","Machine Learning and Adaptive Algorithm Module","ATLAS","Model Hardening","Yes","50","Models are hardened through robustness testing, adversarial evaluation, controlled retraining, and protection against identified manipulation techniques."
"Layer 2","Machine Learning and Adaptive Algorithm Module","ATLAS","AI Telemetry Logging","Yes","25","Model versions, deployment events, validation results, update operations, dependency changes, and abnormal model behavior are recorded."
"Layer 2","Human Override Control Interface","ICS","Multi-factor Authentication","Yes","75","Access to human-override functions requires two independent authentication factors, with stronger authentication applied to remote supervisory sessions."
"Layer 2","Human Override Control Interface","ICS","Authorization Enforcement","Yes","75","Only designated operator and supervisory roles are permitted to issue, approve, modify, or cancel override commands."
"Layer 2","Human Override Control Interface","ICS","Software Process and Device Authentication","Yes","50","Connections from authorized Remote Control Center systems and supervisory software are authenticated before override commands are accepted."
